"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30","P31","P32","P33","P34","P35","P36","P37","P38","P39","P40","P41","P42","P43","P44","P45","P46","P47","P48","P49","P50","P51","P52","P53","P54","P55","P56","P57","P58","P59","P60","P61","P62","P63","P64"
"c__Atractiellomycetes","2.158172e-05","0.000000e+00","0.000000e+00","0.000000e+00","2.429278e-05","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.767853e-03","0.000000e+00","0.000000e+00","0.000000e+00","9.320859e-05","3.111019e-04","0.000000e+00","0.000000e+00","2.616089e-04","1.128477e-04","4.595852e-04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","7.109342e-05","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.839602e-04","0.000000e+00","1.027092e-04","0.000000e+00","3.754646e-05","5.312649e-05","4.432680e-04","0.000000e+00","1.616893e-04","0.000000e+00","0.000000e+00","0.000000e+00","9.016087e-05","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"c__Chytridiomycota_cls_Incertae_sedis","2.050264e-03","2.017495e-02","6.693378e-03","5.829371e-04","6.243244e-03","1.386560e-03","2.177315e-02","0.000000e+00","1.553218e-03","1.444462e-02","2.615122e-04","0.000000e+00","7.743052e-03","2.437510e-02","1.432703e-03","5.208537e-05","4.278679e-02","1.402882e-03","2.274085e-03","1.338286e-02","6.695911e-02","2.419167e-03","8.895405e-03","1.407274e-02","2.583122e-02","1.494833e-02","2.156973e-02","4.798384e-03","1.203735e-03","6.347286e-02","5.460419e-02","2.038260e-02","1.556743e-02","1.607758e-03","8.534216e-04","7.626079e-04","7.842454e-04","4.624644e-03","3.244112e-02","5.347403e-04","6.824968e-04","3.645416e-03","2.508624e-02","4.511520e-02","6.983682e-03","2.016501e-03","9.518144e-04","1.563463e-02","3.865508e-02","3.203965e-03","2.263189e-03","1.773072e-03","6.426112e-04","4.790855e-02","2.168237e-03","8.661307e-03","2.716204e-04","2.248870e-02","3.803528e-03","2.138913e-02","2.050231e-04","1.612442e-02","3.494238e-03"
"c__Cystobasidiomycetes","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.670091e-05","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.449588e-04","0.000000e+00","0.000000e+00","2.514286e-04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","8.888626e-05","0.000000e+00","0.000000e+00","1.471550e-04","9.874175e-05","7.468260e-04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","8.820849e-05","2.376624e-05","1.421868e-04","3.303289e-04","0.000000e+00","8.027615e-05","1.924637e-04","0.000000e+00","1.070791e-04","0.000000e+00","0.000000e+00","1.126394e-04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","6.440062e-05","0.000000e+00","0.000000e+00","0.000000e+00","4.969006e-05","0.000000e+00"
"c__Dothideomycetes","3.323586e-03","4.702701e-03","6.062588e-03","3.554773e-03","1.252293e-02","2.532782e-02","6.849470e-03","3.695520e-03","7.698064e-03","7.305051e-03","2.114838e-03","0.000000e+00","2.574389e-02","2.085597e-02","1.392905e-03","0.000000e+00","2.426607e-03","1.066654e-03","4.244260e-03","8.537143e-03","1.925968e-02","2.588199e-02","9.204043e-03","1.312978e-03","7.766821e-03","2.306913e-03","1.965868e-02","8.418217e-05","1.046726e-03","5.346632e-03","2.107431e-02","4.653300e-03","1.810223e-02","5.844073e-03","9.912820e-03","4.774589e-03","8.136546e-03","1.532480e-02","7.380110e-02","5.680130e-03","1.032276e-02","3.421264e-03","9.631434e-03","4.197296e-03","8.028485e-03","1.569414e-02","3.854848e-02","3.183986e-03","2.261495e-03","1.095105e-02","2.635074e-03","6.117099e-03","9.428197e-02","9.782204e-03","2.213645e-03","1.242352e-02","1.688770e-03","2.552841e-02","1.359652e-02","3.058925e-03","2.050231e-04","2.039777e-02","3.723330e-02"
"c__Eurotiomycetes","0.0160568031","0.0200792160","0.0358965972","0.0246205194","0.0082473976","0.0462978858","0.0663627498","0.0117904699","0.1865901773","0.0070686415","0.0112563957","0.0006450273","0.0352882006","0.0522305025","0.0077472076","0.0009635793","0.3189322929","0.1098190166","0.0124183897","0.0980914286","0.0199250807","0.0100178336","0.0216928826","0.0121987610","0.0902846172","0.0164746181","0.1696246037","0.0021150770","0.0032448501","0.0628351864","0.0978248604","0.2176250934","0.0814724139","0.5249202501","0.0594769182","0.0050508958","0.0583282503","0.0651870827","0.0975193814","0.0057395458","0.3827953931","0.0238544665","0.2722518268","0.0148854918","0.1301054426","0.0318261431","0.0390957763","0.0317485678","0.0017073536","0.0729277481","0.0043988737","0.0571182512","0.1766453271","0.0146652222","0.0213191055","0.0328285788","0.0044285934","0.1325236028","0.2032264411","0.0247749588","0.0004783872","0.0186958844","0.0363076781"
"c__Fungi_cls_Incertae_sedis","0.92826235","0.90217664","0.83148574","0.95283925","0.82749699","0.83375810","0.84961784","0.95734509","0.74462609","0.86064847","0.96214895","0.99549574","0.86674230","0.83440718","0.96962140","0.77802518","0.41312985","0.82822228","0.94565252","0.84488000","0.80894349","0.01684113","0.90049713","0.95824729","0.77669455","0.94019504","0.65352138","0.98775149","0.97436568","0.57949640","0.64548891","0.72924685","0.82342904","0.30806431","0.54461425","0.90270671","0.77162121","0.82203054","0.56282894","0.89856571","0.50956917","0.94976641","0.51219693","0.84864505","0.74431201","0.87714325","0.81627603","0.78766576","0.90774300","0.43125868","0.51381820","0.65416229","0.59494883","0.63070157","0.80371211","0.90786667","0.98561593","0.68365126","0.01796839","0.90704137","0.29124665","0.62680282","0.84493451"
"c__Leotiomycetes","1.942355e-04","3.948833e-04","3.621199e-04","3.086138e-04","0.000000e+00","2.905173e-04","1.927831e-04","0.000000e+00","0.000000e+00","2.600504e-04","0.000000e+00","0.000000e+00","0.000000e+00","7.374631e-04","5.306307e-05","0.000000e+00","0.000000e+00","0.000000e+00","2.200727e-04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.047212e-03","5.476005e-04","1.911054e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","9.191704e-05","3.462176e-04","0.000000e+00","0.000000e+00","1.215752e-04","0.000000e+00","2.947077e-04","1.264322e-03","0.000000e+00","0.000000e+00","0.000000e+00","2.596407e-04","1.490843e-04","0.000000e+00","0.000000e+00","2.260559e-04","7.988497e-05","1.048375e-04","6.257744e-05","1.912554e-04","0.000000e+00","0.000000e+00","3.233787e-04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.465906e-04","4.628130e-04"
"c__Rozellomycota_cls_Incertae_sedis","6.042883e-04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","9.357163e-05","1.940692e-04","0.000000e+00","0.000000e+00","2.379027e-04","0.000000e+00","0.000000e+00","6.285714e-04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.371349e-04","1.281618e-04","1.896240e-03","0.000000e+00","0.000000e+00","8.175278e-05","0.000000e+00","1.378756e-04","3.709474e-05","0.000000e+00","0.000000e+00","2.873595e-04","0.000000e+00","1.246840e-03","2.058198e-04","0.000000e+00","0.000000e+00","0.000000e+00","6.305560e-04","0.000000e+00","1.099792e-04","0.000000e+00","0.000000e+00","3.537763e-04","0.000000e+00","0.000000e+00","0.000000e+00","6.332400e-05","0.000000e+00","1.455204e-03","0.000000e+00","2.344061e-05","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"c__Sordariomycetes","0.042828932","0.046428700","0.107386078","0.016242228","0.115755080","0.091341265","0.041085482","0.026826741","0.045462791","0.059977068","0.022626492","0.003279800","0.048329746","0.054106505","0.018253695","0.220620597","0.065530285","0.053866042","0.029416388","0.023508571","0.049523129","0.932682019","0.053758226","0.011613889","0.057733784","0.019224272","0.095241622","0.001441620","0.019071345","0.120748855","0.150933815","0.020865169","0.036513589","0.158517290","0.383580169","0.082991633","0.159376089","0.086406039","0.130048711","0.087875655","0.093061283","0.012151385","0.045004389","0.037294006","0.093537345","0.065069598","0.097644259","0.147159519","0.037082522","0.456302174","0.472740796","0.278638281","0.132523401","0.277151681","0.143693949","0.034410820","0.007298322","0.116307526","0.745119899","0.018855588","0.707796572","0.221841265","0.070717823"
"c__Spizellomycetes","4.920633e-03","5.743757e-04","7.172311e-03","1.794532e-03","5.344411e-04","1.439381e-03","5.329886e-03","6.843556e-05","0.000000e+00","4.491779e-04","1.137010e-03","6.559599e-05","3.742865e-03","2.134762e-03","2.520496e-04","6.510671e-05","3.568540e-04","2.434754e-04","1.530029e-03","1.828571e-04","2.464450e-04","0.000000e+00","1.598307e-03","1.241361e-03","8.552230e-03","2.679747e-03","2.709549e-02","0.000000e+00","9.420533e-05","7.848267e-04","2.426226e-03","0.000000e+00","7.418948e-05","1.658798e-04","0.000000e+00","1.989412e-04","1.023876e-03","2.040284e-04","3.841970e-03","8.318182e-05","1.564055e-04","1.946581e-03","1.904032e-03","3.096366e-04","9.623184e-05","2.419801e-04","1.427722e-04","2.624792e-04","4.942339e-04","0.000000e+00","1.338788e-03","5.065920e-05","2.182453e-04","3.799699e-03","0.000000e+00","3.867701e-04","0.000000e+00","8.500882e-04","0.000000e+00","1.517787e-04","0.000000e+00","2.124250e-03","2.545471e-04"
"c__Tremellomycetes","3.237259e-05","0.000000e+00","1.051316e-04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.423174e-04","0.000000e+00","0.000000e+00","3.568540e-05","1.275348e-04","0.000000e+00","1.028571e-04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.246681e-04","6.990644e-05","2.370300e-04","0.000000e+00","0.000000e+00","8.175278e-05","0.000000e+00","3.446889e-05","4.945965e-05","0.000000e+00","3.938869e-05","0.000000e+00","0.000000e+00","0.000000e+00","1.470141e-04","0.000000e+00","4.976539e-04","0.000000e+00","8.654690e-05","0.000000e+00","0.000000e+00","1.037058e-04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.312649e-05","0.000000e+00","0.000000e+00","1.616893e-04","7.946418e-05","1.289234e-04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.628130e-05"
"c__Ustilaginomycetes","0.000000e+00","8.376312e-05","5.840644e-05","0.000000e+00","1.129614e-03","0.000000e+00","2.540201e-03","2.150832e-04","2.335495e-03","1.914916e-03","0.000000e+00","0.000000e+00","9.123234e-04","5.175180e-05","0.000000e+00","0.000000e+00","4.877004e-04","2.678230e-03","0.000000e+00","5.668571e-03","1.111467e-02","1.659301e-03","0.000000e+00","0.000000e+00","3.615374e-04","0.000000e+00","5.333175e-04","2.525465e-03","3.035505e-04","1.631785e-02","4.245895e-03","4.251163e-04","2.918120e-03","3.827995e-05","8.009033e-04","1.348379e-03","5.446148e-05","1.258175e-03","2.930482e-03","0.000000e+00","2.374520e-03","1.757822e-03","3.857519e-03","1.150243e-02","4.509149e-03","6.026456e-03","1.427722e-04","1.027092e-04","0.000000e+00","2.165179e-03","0.000000e+00","6.459048e-04","0.000000e+00","4.850680e-04","4.086729e-04","8.673027e-04","0.000000e+00","9.016087e-04","3.060310e-04","3.537612e-03","0.000000e+00","1.763997e-03","0.000000e+00"
"none","1.704956e-03","5.384772e-03","4.777647e-03","5.715069e-05","2.804601e-02","1.584640e-04","6.191740e-03","5.865905e-05","1.173416e-02","4.793201e-02","4.548039e-04","5.138353e-04","1.140404e-02","1.076437e-02","1.246982e-03","2.734482e-04","1.557311e-01","2.573883e-03","4.244260e-03","4.765714e-03","2.402839e-02","8.730713e-03","4.354008e-03","1.312978e-03","3.146622e-02","3.332207e-03","8.310865e-03","1.283778e-03","6.699045e-04","1.504251e-01","2.319020e-02","5.331189e-03","2.149022e-02","8.421590e-04","7.221259e-04","1.757314e-03","6.753224e-04","3.423144e-03","9.488293e-02","1.497273e-03","3.270297e-04","3.126327e-03","1.290909e-01","3.782153e-02","1.212521e-02","1.394266e-03","6.864961e-03","1.370598e-02","1.195148e-02","2.297844e-02","2.507571e-03","9.878545e-04","7.396091e-04","1.340405e-02","2.640481e-02","2.402663e-03","6.967654e-04","1.759425e-02","1.597919e-02","2.119065e-02","6.834102e-05","9.165331e-02","6.548804e-03"
"newnewnew","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one"
"sample","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30","P31","P32","P33","P34","P35","P36","P37","P38","P39","P40","P41","P42","P43","P44","P45","P46","P47","P48","P49","P50","P51","P52","P53","P54","P55","P56","P57","P58","P59","P60","P61","P62","P63","P64"
